execution time;0.00459599
nodes;1
processes;1
threads;1
width;780
height;520
bin;count
0;4391
1;3613
2;8096
3;9751
4;5333
5;4201
6;3044
7;2574
8;2241
9;2109
10;1990
11;1918
12;1832
13;1832
14;1690
15;1701
16;1704
17;1686
18;1573
19;1482
20;1544
21;1514
22;1443
23;1467
24;1452
25;1378
26;1442
27;1403
28;1359
29;1435
30;1365
31;1346
32;1352
33;1246
34;1220
35;1269
36;1219
37;1224
38;1248
39;1225
40;1196
41;1256
42;1381
43;1587
44;1748
45;1641
46;1736
47;1770
48;1590
49;1499
50;1724
51;1650
52;1712
53;1835
54;2069
55;2242
56;2376
57;2459
58;2456
59;2482
60;2545
61;2738
62;2941
63;2906
64;3032
65;3020
66;2926
67;2906
68;2988
69;2980
70;2786
71;2548
72;2568
73;2507
74;2438
75;2411
76;2287
77;2340
78;2201
79;2204
80;2097
81;2025
82;1911
83;1992
84;1963
85;2006
86;2134
87;2074
88;2184
89;2214
90;2201
91;2314
92;2340
93;2318
94;2396
95;2240
96;2373
97;2396
98;2455
99;2556
100;2682
101;2639
102;2526
103;2549
104;2493
105;2549
106;2577
107;2395
108;2458
109;2419
110;2343
111;2533
112;2571
113;2638
114;2724
115;2801
116;2877
117;2773
118;2904
119;2929
120;2884
121;2781
122;2704
123;2705
124;2425
125;2200
126;2193
127;1946
128;1879
129;1955
130;1840
131;1828
132;1791
133;1748
134;1631
135;1632
136;1609
137;1589
138;1538
139;1557
140;1435
141;1354
142;1277
143;1312
144;1237
145;1290
146;1248
147;1235
148;1322
149;1343
150;1251
151;1264
152;1227
153;1162
154;1144
155;1018
156;1014
157;968
158;1008
159;919
160;935
161;855
162;983
163;938
164;969
165;964
166;912
167;933
168;909
169;1014
170;910
171;918
172;993
173;920
174;981
175;1058
176;1024
177;1024
178;1037
179;1111
180;1037
181;1107
182;1057
183;1089
184;1065
185;1140
186;1167
187;1181
188;1105
189;1110
190;1159
191;1177
192;1119
193;1098
194;1052
195;1012
196;988
197;1016
198;969
199;959
200;893
201;848
202;818
203;833
204;784
205;773
206;790
207;709
208;690
209;656
210;644
211;604
212;623
213;586
214;562
215;585
216;494
217;473
218;506
219;455
220;438
221;443
222;425
223;407
224;403
225;409
226;395
227;400
228;404
229;398
230;420
231;448
232;428
233;435
234;497
235;499
236;489
237;449
238;413
239;389
240;376
241;330
242;292
243;285
244;260
245;251
246;131
247;74
248;41
249;15
250;7
251;3
252;0
253;0
254;0
255;0
