,nodes,threads,cpus,width,height,size,time
0,1,1,1,6400,3200,20480000,0.0174639
0,1,1,1,6400,6400,40960000,0.0347552
0,1,1,1,6400,12800,81920000,0.0692029
0,1,1,1,12800,12800,163840000,0.154564
0,1,2,2,6400,3200,20480000,0.00917506
0,1,2,2,6400,6400,40960000,0.018111
0,1,2,2,6400,12800,81920000,0.03582
0,1,2,2,12800,12800,163840000,0.078305
0,1,4,4,6400,3200,20480000,0.00498104
0,1,4,4,6400,6400,40960000,0.009588
0,1,4,4,6400,12800,81920000,0.018712
0,1,4,4,12800,12800,163840000,0.0403678
0,1,8,8,6400,3200,20480000,0.00488615
0,1,8,8,6400,6400,40960000,0.0102401
0,1,8,8,6400,12800,81920000,0.02005
0,1,8,8,12800,12800,163840000,0.021826
0,2,1,2,6400,3200,20480000,-1.0
0,2,1,2,6400,6400,40960000,-1.0
0,2,1,2,6400,12800,81920000,-1.0
0,2,1,2,12800,12800,163840000,-1.0
0,2,2,4,6400,3200,20480000,0.00511694
0,2,2,4,6400,6400,40960000,0.00930285
0,2,2,4,6400,12800,81920000,0.0189331
0,2,2,4,12800,12800,163840000,0.040632
0,2,4,8,6400,3200,20480000,0.00288987
0,2,4,8,6400,6400,40960000,0.00510287
0,2,4,8,6400,12800,81920000,0.0100331
0,2,4,8,12800,12800,163840000,0.020721
0,2,8,16,6400,3200,20480000,0.00326991
0,2,8,16,6400,6400,40960000,0.00549603
0,2,8,16,6400,12800,81920000,0.011519
0,2,8,16,12800,12800,163840000,0.0116992
0,4,1,4,6400,3200,20480000,-1.0
0,4,1,4,6400,6400,40960000,-1.0
0,4,1,4,6400,12800,81920000,-1.0
0,4,1,4,12800,12800,163840000,-1.0
0,4,2,8,6400,3200,20480000,0.00285459
0,4,2,8,6400,6400,40960000,0.00497353
0,4,2,8,6400,12800,81920000,0.009666919999999999
0,4,2,8,12800,12800,163840000,0.020551100000000003
0,4,4,16,6400,3200,20480000,0.00186348
0,4,4,16,6400,6400,40960000,0.002843975
0,4,4,16,6400,12800,81920000,0.005506395000000001
0,4,4,16,12800,12800,163840000,0.01089095
0,4,8,32,6400,3200,20480000,0.00212991
0,4,8,32,6400,6400,40960000,0.0034221399999999997
0,4,8,32,6400,12800,81920000,0.006441475
0,4,8,32,12800,12800,163840000,0.00626707
0,8,1,8,6400,3200,20480000,-1.0
0,8,1,8,6400,6400,40960000,-1.0
0,8,1,8,6400,12800,81920000,-1.0
0,8,1,8,12800,12800,163840000,-1.0
0,8,2,16,6400,3200,20480000,0.0018161499999999999
0,8,2,16,6400,6400,40960000,0.002773405
0,8,2,16,6400,12800,81920000,0.00507593
0,8,2,16,12800,12800,163840000,0.01082645
0,8,4,32,6400,3200,20480000,0.0013804400000000001
0,8,4,32,6400,6400,40960000,0.00176442
0,8,4,32,6400,12800,81920000,0.0033855400000000003
0,8,4,32,12800,12800,163840000,0.005778435
0,8,8,64,6400,3200,20480000,0.00167954
0,8,8,64,6400,6400,40960000,0.002215505
0,8,8,64,6400,12800,81920000,0.003988505
0,8,8,64,12800,12800,163840000,0.00365007
0,2,16,32,6400,3200,20480000,0.0027265550000000003
0,2,16,32,6400,6400,40960000,0.004297975000000001
0,2,16,32,6400,12800,81920000,0.0077155850000000005
0,2,16,32,12800,12800,163840000,0.01286195
0,2,32,64,6400,3200,20480000,0.00327086
0,2,32,64,6400,6400,40960000,0.0037840599999999997
0,2,32,64,6400,12800,81920000,0.00531757
0,2,32,64,12800,12800,163840000,0.00777197
0,4,16,64,6400,3200,20480000,0.00212491
0,4,16,64,6400,6400,40960000,0.003084065
0,4,16,64,6400,12800,81920000,0.0048245200000000005
0,4,16,64,12800,12800,163840000,0.007252455
0,4,32,128,6400,3200,20480000,0.003125545
0,4,32,128,6400,6400,40960000,0.003298995
0,4,32,128,6400,12800,81920000,0.0041199900000000005
0,4,32,128,12800,12800,163840000,0.00614953
